"external_references","severity","detection_time","cvss2_score","condition","updated","cvss3_score","Architecture","published","Name","Version","cve","Title"
"[""https://bugzilla.mozilla.org/show_bug.cgi?id=1701684"",""https://www.mozilla.org/security/advisories/mfsa2021-20/"",""https://nvd.nist.gov/vuln/detail/CVE-2021-29953""]","Medium","2023-10-05T15:56:51+00:00",4.3,"less than 88.0.1","2021-06-30",6.1,"x86","2021-06-24","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2021-29953","CVE-2021-29953 affects Mozilla Firefox 45.0 (x86 ru)"
"[""https://bugzilla.mozilla.org/show_bug.cgi?id=1704227"",""https://www.mozilla.org/security/advisories/mfsa2021-20/"",""https://nvd.nist.gov/vuln/detail/CVE-2021-29952""]","High","2023-10-05T15:56:51+00:00",5.1,"less than 88.0.1","2021-06-25",7.5,"x86","2021-06-24","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2021-29952","CVE-2021-29952 affects Mozilla Firefox 45.0 (x86 ru)"
"[""https://bugzilla.mozilla.org/show_bug.cgi?id=1631583"",""https://lists.debian.org/debian-lts-announce/2023/02/msg00021.html"",""https://www.mozilla.org/security/advisories/mfsa2020-36/"",""https://www.mozilla.org/security/advisories/mfsa2020-39/"",""https://nvd.nist.gov/vuln/detail/CVE-2020-6829""]","Medium","2023-10-05T15:56:51+00:00",5,"less than 80.0","2023-02-20",5.3,"x86","2020-10-28","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2020-6829","CVE-2020-6829 affects Mozilla Firefox 45.0 (x86 ru)"
"[""https://bugzilla.mozilla.org/buglist.cgi?bug_id=1651001%2C1653626%2C1656957"",""https://www.mozilla.org/security/advisories/mfsa2020-36/"",""https://www.mozilla.org/security/advisories/mfsa2020-38/"",""https://www.mozilla.org/security/advisories/mfsa2020-39/"",""https://www.mozilla.org/security/advisories/mfsa2020-41/"",""https://nvd.nist.gov/vuln/detail/CVE-2020-15670""]","High","2023-10-05T15:56:51+00:00",6.8,"less than 80.0","2021-07-21",8.8,"x86","2020-10-01","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2020-15670","CVE-2020-15670 affects Mozilla Firefox 45.0 (x86 ru)"
"[""https://bugzilla.mozilla.org/show_bug.cgi?id=1651520"",""https://www.mozilla.org/security/advisories/mfsa2020-36/"",""https://www.mozilla.org/security/advisories/mfsa2020-39/"",""https://nvd.nist.gov/vuln/detail/CVE-2020-15668""]","Medium","2023-10-05T15:56:51+00:00",4.3,"less than 80.0","2020-10-02",4.3,"x86","2020-10-01","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2020-15668","CVE-2020-15668 affects Mozilla Firefox 45.0 (x86 ru)"
"[""https://bugzilla.mozilla.org/show_bug.cgi?id=1450853"",""https://www.mozilla.org/security/advisories/mfsa2020-36/"",""https://www.mozilla.org/security/advisories/mfsa2020-39/"",""https://nvd.nist.gov/vuln/detail/CVE-2020-15666""]","Medium","2023-10-05T15:56:51+00:00",4.3,"less than 80.0","2021-07-21",6.5,"x86","2020-10-01","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2020-15666","CVE-2020-15666 affects Mozilla Firefox 45.0 (x86 ru)"
"[""https://bugzilla.mozilla.org/show_bug.cgi?id=1658214"",""https://www.mozilla.org/security/advisories/mfsa2020-36/"",""https://www.mozilla.org/security/advisories/mfsa2020-37/"",""https://www.mozilla.org/security/advisories/mfsa2020-38/"",""https://www.mozilla.org/security/advisories/mfsa2020-39/"",""https://www.mozilla.org/security/advisories/mfsa2020-40/"",""https://www.mozilla.org/security/advisories/mfsa2020-41/"",""https://nvd.nist.gov/vuln/detail/CVE-2020-15664""]","Medium","2023-10-05T15:56:51+00:00",4.3,"less than 80.0","2020-10-13",6.5,"x86","2020-10-01","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2020-15664","CVE-2020-15664 affects Mozilla Firefox 45.0 (x86 ru)"
"[""https://bugzilla.mozilla.org/show_bug.cgi?id=1700690"",""https://www.mozilla.org/security/advisories/mfsa2021-14/"",""https://www.mozilla.org/security/advisories/mfsa2021-15/"",""https://www.mozilla.org/security/advisories/mfsa2021-16/"",""https://nvd.nist.gov/vuln/detail/CVE-2021-29945""]","Medium","2023-10-05T15:56:51+00:00",4.3,"less than 88.0","2021-06-30",6.5,"x86","2021-06-24","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2021-29945","CVE-2021-29945 affects Mozilla Firefox 45.0 (x86 ru)"
"[""http://www.securityfocus.com/bid/105718"",""http://www.securityfocus.com/bid/105769"",""http://www.securitytracker.com/id/1041944"",""https://access.redhat.com/errata/RHSA-2018:3005"",""https://access.redhat.com/errata/RHSA-2018:3006"",""https://access.redhat.com/errata/RHSA-2018:3531"",""https://access.redhat.com/errata/RHSA-2018:3532"",""https://bugzilla.mozilla.org/show_bug.cgi?id=1495011"",""https://lists.debian.org/debian-lts-announce/2018/11/msg00008.html"",""https://lists.debian.org/debian-lts-announce/2018/11/msg00011.html"",""https://security.gentoo.org/glsa/201811-04"",""https://security.gentoo.org/glsa/201811-13"",""https://usn.ubuntu.com/3801-1/"",""https://usn.ubuntu.com/3868-1/"",""https://www.debian.org/security/2018/dsa-4324"",""https://www.debian.org/security/2018/dsa-4337"",""https://www.mozilla.org/security/advisories/mfsa2018-26/"",""https://www.mozilla.org/security/advisories/mfsa2018-27/"",""https://www.mozilla.org/security/advisories/mfsa2018-28/"",""https://nvd.nist.gov/vuln/detail/CVE-2018-12393""]","High","2023-10-05T15:56:51+00:00",5,"less than 63.0","2020-08-24",7.5,"x86","2019-02-28","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2018-12393","CVE-2018-12393 affects Mozilla Firefox 45.0 (x86 ru)"
"[""http://www.securityfocus.com/bid/104139"",""http://www.securitytracker.com/id/1040896"",""https://bugzilla.mozilla.org/show_bug.cgi?id=1451452"",""https://www.mozilla.org/security/advisories/mfsa2018-11/"",""https://nvd.nist.gov/vuln/detail/CVE-2018-5165""]","Medium","2023-10-05T15:56:51+00:00",5,"less than 60.0","2020-09-11",5.3,"x86","2018-06-11","Mozilla Firefox 45.0 (x86 ru)","45.0","CVE-2018-5165","CVE-2018-5165 affects Mozilla Firefox 45.0 (x86 ru)"
